#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
106000,399913.92510813044,95396.59979961906,445.24714660905096,240.59815110595446,1.1906939340344627
108000,400638.80010813044,97296.7161778512,454.11561149574555,240.8985493769885,1.1892091496717516
110000,400880.23760813044,96485.73868959141,450.33051419279866,242.1806693195009,1.1829134004243134
112000,400494.05010813044,96978.16862788994,452.62884584605297,240.34513856733295,1.191947383539483
114000,399653.23760813044,97129.93393656332,453.33718420174904,240.7296904739677,1.1900433157942625
116000,399699.92510813044,96477.15153530007,450.29043513386216,239.96127803076016,1.1938541143502488
118000,399323.80010813044,96106.07577864407,448.5585031554277,240.04957349423282,1.1934149887945944
120000,400144.80010813044,96905.4333201996,452.2893663648672,240.47584404417327,1.1912995261559136
122000,400086.36260813044,95812.48919305485,447.1882384940994,240.03367343562184,1.193494041737448
124000,399694.55010813044,96369.10582476365,449.7861504484464,240.07437266719256,1.1932917115601647
126000,399429.42510813044,96982.4818286032,452.64897696513225,239.8214937106189,1.1945499739378955
128000,398986.36260813044,96126.63062529685,448.6544393506417,240.7257353715036,1.1900628681003067
130000,399934.42510813044,96964.42715471121,452.5647098942906,239.9323471873419,1.1939980682891462
132000,401362.05010813044,96120.6539855816,448.62654441743535,239.5844270129309,1.1957319707023575
134000,399616.48760813044,95797.6661714192,447.11905460178815,239.0569243670397,1.1983704710511436
136000,400042.55010813044,96550.07754665449,450.6308046914495,240.22624928090985,1.192537284827569
138000,401039.30010813044,95528.66864669137,445.8635551334471,240.615128097128,1.190609922690004
140000,400066.42510813044,95922.597255436,447.7021488504102,240.44697347928783,1.1914425659695167
142000,399370.30010813044,95532.83900916763,445.8830195797353,241.68920449636667,1.1853188050278582
