#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
90000,400707.11260813044,448.0867413816829,239.39694012197546,1.1966684240650811
92000,400033.05010813044,449.2627765223417,241.26764278553668,1.1873898868254729
94000,400430.30010813044,452.3844140364808,240.2716607236888,1.1923118947898566
96000,400137.67510813044,447.07557333944953,240.9953182315649,1.1887316366307934
98000,399876.17510813044,457.02030449340793,240.21820787291855,1.1925772055269075
100000,400641.98760813044,448.44616863333886,239.83927099043834,1.194461431936174
102000,400776.17510813044,444.8986778581316,240.52703369874126,1.1910459903670538
104000,399465.05010813044,444.18721972136774,239.58000934457783,1.1957540190664935
106000,399631.11260813044,452.36118131942226,240.83309884528853,1.1895323376866953
108000,398547.55010813044,448.14735242339646,239.8980324753255,1.1941688562670165
110000,400086.92510813044,450.23594613916566,239.88355540103922,1.1942409248638555
112000,400776.30010813044,453.04618258456776,241.1900815997227,1.187771724117599
114000,399029.11260813044,452.8835607459428,240.24720094913795,1.1924332850912864
116000,400667.80010813044,449.42626765504264,240.77382416397782,1.1898251816055472
118000,399366.17510813044,451.12285220277045,240.46580391144846,1.1913492663067502
120000,399366.55010813044,449.7556927536723,239.9927022604486,1.1936977931556856
122000,399751.73760813044,449.85393014601505,240.02404346991895,1.1935419257182458
124000,400353.80010813044,450.95991566227923,240.81960838857518,1.1895989740150992
126000,398917.17510813044,444.15457626203516,239.4387248120994,1.1964595922676353
128000,398717.92510813044,446.2787745888346,238.93741953115406,1.1989698374741766
130000,400174.92510813044,446.5968646625706,241.06296287011523,1.188398066840827
132000,399925.61260813044,453.19659946564786,240.47811083707927,1.191288296737546
134000,399976.98760813044,443.0216704482136,240.1230824741891,1.1930496481635025
136000,399197.73760813044,449.09876219533936,238.93891665373258,1.19896232507377
138000,399606.36260813044,441.73877102291465,239.75664363678584,1.194873079286853
140000,397897.36260813044,449.39544537102944,239.20939432430092,1.1976066402868029
142000,398207.86260813044,450.4861726369675,239.6445765065939,1.195431848439451
144000,398333.17510813044,444.95582559473524,240.62741760801364,1.1905491149327214
146000,398647.42510813044,454.5117484579294,239.8272210849913,1.1945214465885967
148000,400101.05010813044,450.84294823895584,240.31708632389086,1.1920865197061397
150000,399744.98760813044,448.6452399912904,238.4990822073024,1.2011734234380025
152000,399625.92510813044,448.4786952391463,239.58874314700597,1.1957104298760413
