#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
27000,426618.80010813044,497.44915783521907,251.66648121349863,1.138327033780616
28000,424818.05010813044,503.72841564093005,249.99270724635545,1.1459484647264382
29000,427248.30010813044,501.5902576433524,250.38192945835902,1.144167071807038
30000,424705.36260813044,497.66861337455094,251.59313062040448,1.1386589067648147
31000,425331.05010813044,497.1060816386714,248.48384400279025,1.1529069835966885
32000,425416.42510813044,498.134135972979,248.06855436423578,1.1548370562160573
33000,425408.67510813044,498.78695091523247,249.21830863898666,1.1495092821481072
34000,425727.80010813044,501.28714502867086,250.61316007217013,1.1431113951847878
35000,425241.55010813044,499.20660037498845,249.0414141390033,1.150325780361446
36000,425184.73760813044,496.0753852699197,249.66306405602472,1.1474615203692318
37000,424788.11260813044,492.38799828258095,248.49416267610616,1.1528591093512766
38000,424378.17510813044,502.3803085102431,247.48572300143644,1.1575567090797565
39000,425055.67510813044,497.1662999551003,247.85431126854144,1.1558352872521847
40000,424606.67510813044,503.65506114460777,248.4046121639842,1.1532747180742688
41000,425091.17510813044,497.5036692920069,248.77945100821688,1.1515370658660427
42000,424942.55010813044,501.7559112481568,249.48158822388314,1.148296197331736
43000,425100.92510813044,501.9102172426203,249.6984687356638,1.1472988221046707
44000,424924.42510813044,502.32977231493936,248.849174536792,1.151214423736863
45000,424418.05010813044,497.43636790485414,247.5647826426525,1.15718704414951
46000,425640.67510813044,499.6472199556856,248.53424421988908,1.1526731857856445
47000,426189.11260813044,493.72186459339883,249.09079760654674,1.1500977226556424
48000,424397.55010813044,493.7396062232541,248.81106260752006,1.1513907623700188
49000,426908.42510813044,501.31609045418236,248.2598213814115,1.1539473341585877
50000,425186.42510813044,504.4251892158356,248.62898043863075,1.1522339775369779
51000,425588.42510813044,505.03920308766294,250.50113672143942,1.143622591143509
52000,425141.11260813044,499.8970957050863,251.22585019769332,1.1403235727387635
53000,425935.11260813044,497.12845175273327,250.5971311972168,1.1431845117026174
54000,425859.30010813044,497.0187321273595,249.00055496605117,1.1505145404227135
55000,424990.92510813044,503.68854488015825,250.13309782921925,1.1453052856578103
56000,426461.61260813044,502.1931350165134,250.2102185564777,1.1449522753887955
57000,426645.30010813044,501.4963315484324,252.14396284374126,1.1361713991911189
58000,425808.86260813044,501.1722996954927,250.59639854868678,1.143187853939205
59000,425774.86260813044,498.6604539223728,249.65094411147288,1.1475172268279104
60000,423738.73760813044,503.6016441299921,249.43513703498536,1.1485100393918677
61000,424952.36260813044,492.29751671744424,248.65814934815415,1.1520988144275899
62000,425206.92510813044,499.89669192279297,249.40276741140573,1.148659102844685
63000,424287.05010813044,500.4478520177401,249.73775594469865,1.1471183361045503
64000,426696.17510813044,495.0679488248708,251.24425683541213,1.1402400304395282
65000,426195.73760813044,497.32838326931795,248.97578458314723,1.150629004107407
66000,425673.42510813044,504.0344948270467,248.73719707595345,1.1517326818404605
67000,426371.92510813044,502.09655246828277,250.00059380107788,1.145912314471198
68000,425126.23760813044,498.79049368192676,248.9566435470158,1.1507174702396126
69000,425340.30010813044,499.5629338028253,249.86036542056203,1.146555431388925
70000,425069.80010813044,504.73007527702066,249.11710169858227,1.1499762846807293
71000,425714.73760813044,503.08189028034536,249.67373045763077,1.1474124992512258
72000,426347.80010813044,494.50308790556556,250.13647948047426,1.1452898020183804
73000,425025.80010813044,501.96369757070016,250.66344803863342,1.1428820647899711
74000,425765.86260813044,500.45878218364845,249.58003636827698,1.1478432459198888
75000,426377.05010813044,497.66614655460194,250.4383783061747,1.143909176378434
76000,424642.23760813044,500.82939866077794,250.67128992641972,1.1428463113819614
77000,425101.11260813044,502.22235239024957,250.10130570281893,1.1454508734239608
78000,426182.80010813044,500.3111994772224,252.20088868894712,1.1359149468148648
79000,424966.17510813044,498.365776624165,249.86658741709186,1.1465268806971776
80000,425475.80010813044,502.9575811322786,250.98886170325466,1.1414002881150647
81000,426201.92510813044,499.7995399455087,249.5993716756801,1.1477543278194087
82000,424295.86260813044,499.6170115708642,251.23516793084832,1.1402812807664704
83000,425377.17510813044,503.21105071959363,249.97099669725955,1.1460479929546468
84000,425608.55010813044,493.9445434859369,249.78550807649134,1.146899038570481
85000,423895.05010813044,498.66120794751436,249.81603842975096,1.146758874500068
86000,424511.42510813044,495.67399579708103,247.9771052026094,1.1552629377929862
87000,425107.67510813044,497.774650196708,246.77825360695638,1.1608752184381756
88000,426122.55010813044,494.6934789188044,249.78434417096454,1.146904382708978
