#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
98000,405319.67510813044,100295.71107602469,468.11290200622125,242.61045707826926,1.1808178530793718
100000,404853.55010813044,102049.40969339944,476.29798729268305,243.94325384101748,1.1743663928024455
102000,404604.48760813044,100359.35548348399,468.40995128133585,242.96774829948728,1.1790814256904876
104000,405672.92510813044,100362.02038604557,468.4223892535909,242.77032733825808,1.1800402553422802
106000,405765.61260813044,100561.36276353797,469.3527853574687,243.01184510184376,1.1788674701914497
108000,405093.55010813044,101324.93390341941,472.91662172039315,242.10614947763648,1.1832774990633985
110000,406252.30010813044,100730.17164008296,470.14067162135876,244.07054064884045,1.1737539413818152
112000,405169.73760813044,101198.13691026112,472.3248186632515,242.023853973369,1.1836798495626368
114000,405795.42510813044,101137.66651055915,472.0425835209281,242.34898962274386,1.1820918234803386
116000,406718.17510813044,101153.99968802091,472.1188158046278,243.58251439781372,1.1761055992463239
118000,406155.42510813044,101284.87195791316,472.7296395117847,243.41037479717394,1.1769373400804324
120000,406322.55010813044,99749.25115422904,465.5623947404823,243.6872519459243,1.1756001053569205
122000,406132.30010813044,100570.75277805305,469.39661162777855,242.66115342228304,1.1805711586775154
124000,406043.42510813044,100422.97202675091,468.70687050514704,243.03672563800637,1.178746785325218
126000,406113.17510813044,100692.1542934624,469.96323222477645,243.26567887943892,1.1776373896284162
128000,406221.17510813044,100678.55394641613,469.89975495485317,242.43016889569063,1.1816959925686021
130000,406123.92510813044,101945.3857425612,475.8124734757648,242.43484537911934,1.1816731980659456
132000,406357.48760813044,101722.21935742069,474.77088293258424,243.45963454951553,1.1766992076195781
134000,405679.05010813044,100061.16409244505,467.0181944862053,242.05486450259053,1.1835282040312023
136000,405731.67510813044,101195.33669948555,472.3117491632866,243.40414019010768,1.1769674864117612
138000,405516.98760813044,100883.0503960629,470.854206799973,242.60175107144954,1.180860227910701
140000,405209.67510813044,100652.70272305654,469.77909883648636,244.2158018405638,1.1730557846899463
142000,404856.05010813044,100097.87699687644,467.18954562425574,243.35576864383575,1.1772014308855119
